"price","street","date"
11500,"FIR STREET","1995-01-01 00:00:00"
16000,"LUTON STREET","1995-01-01 00:00:00"
17000,"WESTLANDS ROAD","1995-01-01 00:00:00"
17000,"HOTHAM ROAD SOUTH","1995-01-01 00:00:00"
17000,"WESTLANDS ROAD","1995-01-01 00:00:00"
18500,"FIRST LANE","1995-01-01 00:00:00"
23000,"SCOTLAND ROAD","1995-01-01 00:00:00"
28000,"GEORGE STREET","1995-01-01 00:00:00"
28500,"WEST VIEW","1995-01-01 00:00:00"
29500,"DOBSONS CLOSE","1995-01-01 00:00:00"
34950,"CHARNWOOD ROAD","1995-01-01 00:00:00"
35000,"MIDDLEWAY AVENUE","1995-01-01 00:00:00"
35000,"ALEXANDRA ROAD","1995-01-01 00:00:00"
35000,"THE COMMON","1995-01-01 00:00:00"
35750,"UPPER PARLIAMENT STREET","1995-01-01 00:00:00"
36000,"MOSLEY ROAD","1995-01-01 00:00:00"
37000,"JOSIAH ROAD","1995-01-01 00:00:00"
40000,"LOMOND CLOSE","1995-01-01 00:00:00"
40000,"NEW STREET","1995-01-01 00:00:00"
41000,"BODIAM AVENUE","1995-01-01 00:00:00"
43000,"HAWKSTONE CLOSE","1995-01-01 00:00:00"
43000,"SAXMUNDHAM ROAD","1995-01-01 00:00:00"
47000,"MAES YR EFAIL","1995-01-01 00:00:00"
49000,"BARROWMEAD DRIVE","1995-01-01 00:00:00"
49000,"TOWN GATE DRIVE","1995-01-01 00:00:00"
50000,"TOWN CROSS AVENUE","1995-01-01 00:00:00"
50000,"JOYES ROAD","1995-01-01 00:00:00"
50000,"MERIDIAN VALE","1995-01-01 00:00:00"
50000,"CANADA WAY","1995-01-01 00:00:00"
50000,"ROPE WALK","1995-01-01 00:00:00"
51500,"CANBERRA CLOSE","1995-01-01 00:00:00"
52000,"BUCKINGHAM DRIVE","1995-01-01 00:00:00"
53250,"BOWNESS ROAD","1995-01-01 00:00:00"
54000,"FIRST AVENUE","1995-01-01 00:00:00"
59000,"WEST END LANE","1995-01-01 00:00:00"
59950,"APPLETREE GARDENS","1995-01-01 00:00:00"
61000,"WENTWORTH AVENUE","1995-01-01 00:00:00"
62000,"SHAKESPEARE AVENUE","1995-01-01 00:00:00"
62995,"AUTUMN DRIVE","1995-01-01 00:00:00"
70495,"COMMERCIAL ROAD","1995-01-01 00:00:00"
70500,"WELLINGTON ROAD","1995-01-01 00:00:00"
72000,"ALBERT ROAD","1995-01-01 00:00:00"
77000,"THE GRANGE","1995-01-01 00:00:00"
80000,"LE PERSONNE ROAD","1995-01-01 00:00:00"
84000,"TOURNAY ROAD","1995-01-01 00:00:00"
85000,"EMMANUEL ROAD","1995-01-01 00:00:00"
94000,"SUTHERLAND COURT GARDENS","1995-01-01 00:00:00"
97995,"GRAYSON CLOSE","1995-01-01 00:00:00"
105000,"FULLERS VALE","1995-01-01 00:00:00"
117000,"CROWBOROUGH ROAD","1995-01-01 00:00:00"
125000,"LARK HALL ROAD","1995-01-01 00:00:00"
128000,"GLOUCESTER GARDENS","1995-01-01 00:00:00"
160000,"HORN LANE","1995-01-01 00:00:00"
162500,"MAIN STREET","1995-01-01 00:00:00"
